data,Football,Casual,Fishing
2018-02-04,14904.550500000001,28880.4705,27390.862100000002
2018-02-11,35454.811,26386.3635,34716.7387
2018-02-18,14798.8225,22545.67,34183.7209
2018-02-25,17013.948,21613.942,38883.124
2018-03-04,14145.7456,27472.553499999998,34843.3232
2018-03-11,33911.843,17610.9395,32047.5197
2018-03-18,17968.804,20140.5645,31326.7934
2018-03-25,12191.6361,16927.631,30469.4467
2018-04-01,17967.2346,28447.646500000003,29660.627500000002
2018-04-08,14226.611,24124.7755,32770.0632
2018-04-15,41318.295900000005,19267.689,27005.202699999998
2018-04-22,10436.922999999999,18781.3815,17979.8311
2018-04-29,9638.883100000001,16535.694,27060.379500000003
2018-05-06,20809.831,37734.984,29817.0306
2018-05-13,38359.646499999995,21672.175,29889.594699999998
2018-05-20,12101.2717,24721.354,35473.7264
2018-05-27,15231.439999999999,36268.008,28687.0213
2018-06-03,16153.0495,40322.429,26556.354300000003
2018-06-10,32936.2544,27314.622300000003,28668.890600000002
2018-06-17,26218.3138,17063.301499999998,23389.016
2018-06-24,29954.1879,20612.417,31873.853199999998
2018-07-01,24187.537733333334,27080.41,31026.583700000003
2018-07-08,25913.891499999998,25957.9173,27471.4384
2018-07-15,41137.1541,25375.7525,24618.062700000002
2018-07-22,60078.4079,35587.797,25545.5368
2018-07-29,54395.5279,28358.8515,30511.7379
2018-08-05,26084.047499999997,34179.054000000004,29099.8974
2018-08-12,42430.9179,22234.928799999998,30828.550199999994
2018-08-19,56127.8151,16366.983499999998,23301.2535
2018-08-26,73518.2126,20100.297,24812.9574
2018-09-02,57622.3382,47276.11,24423.9527
2018-09-09,33054.042,22018.4755,36373.4882
2018-09-16,43472.380000000005,13008.4675,25304.9643
2018-09-23,47952.2736,17119.056500000002,27728.6135
2018-09-30,47319.6815,19402.1205,18175.014900000002
2018-10-07,17033.9785,20494.5055,31967.2325
2018-10-14,45520.034,18732.2345,24792.0183
2018-10-21,27114.1934,16379.993,30584.4672
2018-10-28,26394.0866,17850.995750000002,27568.7412
2018-11-04,18195.004100000002,25133.3215,38899.4375
