data,Football,Casual,Fishing
2016-01-01,,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,,,
2016-01-05,,,
2016-01-06,,,
2016-01-07,,,
2016-01-08,,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,,,
2016-01-12,,,
2016-01-13,,,
2016-01-14,,,
2016-01-15,,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,,,
2016-01-19,,,
2016-01-20,,,
2016-01-21,,,
2016-01-22,,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,,,
2016-01-26,,,
2016-01-27,,,
2016-01-28,,,
2016-01-29,,,
2016-01-30,1930.7598566666668,4315.9670166666665,3349.056923333333
2016-01-31,1904.8096900000003,4237.52455,3277.3050566666666
2016-02-01,1857.3422233333333,4339.136316666667,3347.2782700000002
2016-02-02,1783.0848233333334,4441.6842166666665,3464.6528699999994
2016-02-03,1799.4809233333333,4289.163316666667,3547.2983
2016-02-04,1828.36339,4198.90905,3401.423946666667
2016-02-05,1821.9026933333334,4270.399350000001,3530.686063333333
2016-02-06,1846.3935933333335,4103.602416666667,3482.5343933333334
2016-02-07,1777.8149433333335,4223.31735,3342.1846033333336
2016-02-08,1855.65443,4233.428966666667,3287.049103333333
2016-02-09,2004.9883466666665,4447.82415,3386.7101333333335
2016-02-10,2051.27188,4482.2132833333335,3370.0097899999996
2016-02-11,2011.1337866666665,4476.995716666666,3328.11094
2016-02-12,2123.17931,4295.853916666666,3381.16905
2016-02-13,2130.32421,4205.998883333333,3282.9438833333334
2016-02-14,2146.8579766666667,4178.245283333333,3357.2701166666666
2016-02-15,2160.76231,4139.299383333333,3369.0130833333333
2016-02-16,2099.5006433333333,4065.75785,3324.1406333333334
2016-02-17,2127.55298,3922.295416666667,3362.2687933333336
2016-02-18,2084.0090133333333,3855.554616666667,3372.4024366666663
2016-02-19,2127.4015466666665,3796.3992500000004,3326.85542
2016-02-20,2121.8948800000003,3715.8573666666666,3314.844003333333
2016-02-21,2112.8226466666665,3675.4384333333337,3417.652093333333
2016-02-22,2182.15158,3636.3410999999996,3438.6600266666665
2016-02-23,2207.9640799999997,3582.6924,3506.68801
2016-02-24,2267.4911466666667,3315.0959333333335,3524.6672766666666
2016-02-25,2337.701146666667,3201.5209333333332,3474.3129400000003
